trip_id,service_id,route_id,trip_headsign,direction_id,shape_id
4503599631529128,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529129,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529130,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529131,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529132,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631529133,4503599631529079,11821949023742784,Ramonville Métro RAMONVILLE-SAINT-AGNE,0,4503599631529106
4503599631531208,4503599631531208,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531213,4503599631531208,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531214,4503599631531208,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531215,4503599631531208,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531216,4503599631531208,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531217,4503599631531208,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531218,4503599631531208,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531219,4503599631531208,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531220,4503599630773886,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531221,4503599630773886,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531222,4503599630773886,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531223,4503599630773886,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531224,4503599630773886,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531225,4503599630773886,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531226,4503599630773886,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531227,4503599630773886,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531228,4503599631531208,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531229,4503599631531208,11821949025413197,Collège Pechbonnieu PECHBONNIEU,0,4503599631531208
4503599631531230,4503599631531208,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
4503599631531231,4503599630773886,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
4503599631531232,4503599630773886,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
4503599631531233,4503599630773886,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
4503599631531234,4503599630773886,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
4503599631531235,4503599631531208,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
4503599631531236,4503599631531208,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
